"inspection_id","region","year.y","risk_category","lat","long","popInfo"
180654,"sw",2013,"3",38.893311,-77.014647,"180654 <br> sw <br> 3 <br>"
821606,"nw",2016,"3",38.964147,-77.075197,"821606 <br> nw <br> 3 <br>"
8546,"nw",2010,"3",38.914898,-77.046264,"8546 <br> nw <br> 3 <br>"
890545,"nw",2017,"4",38.914898,-77.046264,"890545 <br> nw <br> 4 <br>"
820301,"nw",2015,"3",38.91782,-77.088702,"820301 <br> nw <br> 3 <br>"
404580,"nw",2014,"3",38.913795,-77.016095,"404580 <br> nw <br> 3 <br>"
833075,"nw",2016,"3",38.907042,-77.063219,"833075 <br> nw <br> 3 <br>"
201694,"nw",2014,"3",38.899278,-77.039526,"201694 <br> nw <br> 3 <br>"
68134,"nw",2011,"3",38.916942,-77.096124,"68134 <br> nw <br> 3 <br>"
153363,"se",2013,"3",38.885053,-76.997346,"153363 <br> se <br> 3 <br>"
821832,"nw",2016,"3",38.909639,-77.046635,"821832 <br> nw <br> 3 <br>"
837150,"ne",2017,"3",38.919413,-76.970839,"837150 <br> ne <br> 3 <br>"
824690,"ne",2016,"3",38.929539,-77.003721,"824690 <br> ne <br> 3 <br>"
835345,"nw",2017,"3",38.908465,-77.063975,"835345 <br> nw <br> 3 <br>"
180762,"ne",2013,"3",38.924284,-76.986417,"180762 <br> ne <br> 3 <br>"
21242,"nw",2011,"3",38.921341,-77.072228,"21242 <br> nw <br> 3 <br>"
205976,"sw",2014,"3",38.873908,-76.971333,"205976 <br> sw <br> 3 <br>"
205427,"nw",2014,"3",38.91499,-77.031876,"205427 <br> nw <br> 3 <br>"
179225,"nw",2013,"3",38.898502,-77.021989,"179225 <br> nw <br> 3 <br>"
825918,"nw",2016,"3",38.897349,-77.031962,"825918 <br> nw <br> 3 <br>"
168621,"nw",2012,"3",38.902704,-77.033711,"168621 <br> nw <br> 3 <br>"
153354,"nw",2013,"4",38.894796,-77.023972,"153354 <br> nw <br> 4 <br>"
94360,"nw",2013,"3",38.903162,-77.021993,"94360 <br> nw <br> 3 <br>"
819845,"nw",2015,"3",38.91999,-77.021923,"819845 <br> nw <br> 3 <br>"
811546,"ne",2015,"3",38.907273,-77.008932,"811546 <br> ne <br> 3 <br>"
96191,"se",2011,"3",38.889804,-76.991532,"96191 <br> se <br> 3 <br>"
837708,"ne",2017,"3",38.920091,-76.972964,"837708 <br> ne <br> 3 <br>"
813213,"sw",2015,"3",38.887581,-77.031986,"813213 <br> sw <br> 3 <br>"
200895,"nw",2013,"3",38.901411,-77.04369,"200895 <br> nw <br> 3 <br>"
108153,"nw",2011,"3",38.905293,-77.059352,"108153 <br> nw <br> 3 <br>"
606293,"ne",2014,"3",38.931215,-77.000982,"606293 <br> ne <br> 3 <br>"
404657,"nw",2014,"3",38.909644,-77.044236,"404657 <br> nw <br> 3 <br>"
